race_date,race_date_citation,track_name,track_name_citation,race_number,race_number_citation,chart_url,chart_url_citation,winning_horse,winning_horse_citation,payouts,fractional_times
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA9-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA9-EQB.html,9,https://www.equibase.com/static/chart/summary/CT010326USA9-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=9,https://www.equibase.com/static/chart/summary/CT010326USA9-EQB.html,Digital Security,https://www.equibase.com/static/chart/summary/CT010326USA9-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA1-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA1-EQB.html,1,https://www.equibase.com/static/chart/summary/FG010326USA1-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=1,https://www.equibase.com/static/chart/summary/FG010326USA1-EQB.html,Chariot,https://www.equibase.com/static/chart/summary/FG010326USA1-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA2-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA2-EQB.html,2,https://www.equibase.com/static/chart/summary/FG010326USA2-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=2,https://www.equibase.com/static/chart/summary/FG010326USA2-EQB.html,Ketchum,https://www.equibase.com/static/chart/summary/FG010326USA2-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA3-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA3-EQB.html,3,https://www.equibase.com/static/chart/summary/FG010326USA3-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=3,https://www.equibase.com/static/chart/summary/FG010326USA3-EQB.html,Little Miss Curlin,https://www.equibase.com/static/chart/summary/FG010326USA3-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA4-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA4-EQB.html,4,https://www.equibase.com/static/chart/summary/FG010326USA4-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=4,https://www.equibase.com/static/chart/summary/FG010326USA4-EQB.html,Bohemian,https://www.equibase.com/static/chart/summary/FG010326USA4-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA5-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA5-EQB.html,5,https://www.equibase.com/static/chart/summary/FG010326USA5-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=5,https://www.equibase.com/static/chart/summary/FG010326USA5-EQB.html,Election Night,https://www.equibase.com/static/chart/summary/FG010326USA5-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA6-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA6-EQB.html,6,https://www.equibase.com/static/chart/summary/FG010326USA6-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=6,https://www.equibase.com/static/chart/summary/FG010326USA6-EQB.html,Alone Time,https://www.equibase.com/static/chart/summary/FG010326USA6-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA7-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA7-EQB.html,7,https://www.equibase.com/static/chart/summary/FG010326USA7-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=7,https://www.equibase.com/static/chart/summary/FG010326USA7-EQB.html,Mor Force,https://www.equibase.com/static/chart/summary/FG010326USA7-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA8-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA8-EQB.html,8,https://www.equibase.com/static/chart/summary/FG010326USA8-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=8,https://www.equibase.com/static/chart/summary/FG010326USA8-EQB.html,The Town Tempter,https://www.equibase.com/static/chart/summary/FG010326USA8-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/FG010326USA9-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010326USA9-EQB.html,9,https://www.equibase.com/static/chart/summary/FG010326USA9-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/03/2026&cy=USA&rn=9,https://www.equibase.com/static/chart/summary/FG010326USA9-EQB.html,Traitour,https://www.equibase.com/static/chart/summary/FG010326USA9-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/DED010326USA1-EQB.html,DED,https://www.equibase.com/static/chart/summary/DED010326USA1-EQB.html,1,https://www.equibase.com/static/chart/summary/DED010326USA1-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=DED&raceDate=01/03/2026&cy=USA&rn=1,https://www.equibase.com/static/chart/summary/DED010326USA1-EQB.html,California Swag,https://www.equibase.com/static/chart/summary/DED010326USA1-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/DED010326USA2-EQB.html,DED,https://www.equibase.com/static/chart/summary/DED010326USA2-EQB.html,2,https://www.equibase.com/static/chart/summary/DED010326USA2-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=DED&raceDate=01/03/2026&cy=USA&rn=2,https://www.equibase.com/static/chart/summary/DED010326USA2-EQB.html,Baby Jane,https://www.equibase.com/static/chart/summary/DED010326USA2-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/DED010326USA3-EQB.html,DED,https://www.equibase.com/static/chart/summary/DED010326USA3-EQB.html,3,https://www.equibase.com/static/chart/summary/DED010326USA3-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=DED&raceDate=01/03/2026&cy=USA&rn=3,https://www.equibase.com/static/chart/summary/DED010326USA3-EQB.html,Atchafalaya Sunset,https://www.equibase.com/static/chart/summary/DED010326USA3-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/DED010326USA4-EQB.html,DED,https://www.equibase.com/static/chart/summary/DED010326USA4-EQB.html,4,https://www.equibase.com/static/chart/summary/DED010326USA4-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=DED&raceDate=01/03/2026&cy=USA&rn=4,https://www.equibase.com/static/chart/summary/DED010326USA4-EQB.html,Aubree's Halo,https://www.equibase.com/static/chart/summary/DED010326USA4-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/DED010326USA5-EQB.html,DED,https://www.equibase.com/static/chart/summary/DED010326USA5-EQB.html,5,https://www.equibase.com/static/chart/summary/DED010326USA5-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=DED&raceDate=01/03/2026&cy=USA&rn=5,https://www.equibase.com/static/chart/summary/DED010326USA5-EQB.html,Frosty Blue,https://www.equibase.com/static/chart/summary/DED010326USA5-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/DED010326USA6-EQB.html,DED,https://www.equibase.com/static/chart/summary/DED010326USA6-EQB.html,6,https://www.equibase.com/static/chart/summary/DED010326USA6-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=DED&raceDate=01/03/2026&cy=USA&rn=6,https://www.equibase.com/static/chart/summary/DED010326USA6-EQB.html,Wickey Bibby,https://www.equibase.com/static/chart/summary/DED010326USA6-EQB.html,,
